Node ID,tx,ty,tz,qx,qy,qz,qw
283,-0.36046,0.323205,0.733271,-0.0460654,0.00121745,0.998069,-0.0416453
284,-0.369826,0.325447,0.730765,-0.0425,0.00198129,0.998189,-0.0425181
285,-0.378075,0.327077,0.728813,-0.0405536,-0.00153133,0.998236,-0.0433462
286,-0.386791,0.329074,0.728261,-0.0397707,-0.000840124,0.998286,-0.0429261
287,-0.39545,0.33122,0.728715,-0.0368136,-0.0002313,0.998442,-0.0419364
288,-0.402895,0.333266,0.727685,-0.0326114,0.000177793,0.998584,-0.0420226
289,-0.410572,0.334863,0.727668,-0.0282926,4.00772E-05,0.998662,-0.0432762
290,-0.417081,0.335328,0.727108,-0.0253174,0.00284642,0.99867,-0.0448206
291,-0.423284,0.335457,0.726758,-0.0233432,0.00584789,0.998622,-0.0466301
292,-0.428753,0.335906,0.726087,-0.024668,0.00582695,0.9985,-0.0485302
293,-0.435806,0.336262,0.726091,-0.0273402,0.00766242,0.998363,-0.0496472
294,-0.442656,0.336034,0.726268,-0.0357431,0.00873155,0.99802,-0.0510171
295,-0.449936,0.335878,0.727001,-0.042325,0.00946375,0.997786,-0.0504205
296,-0.459578,0.335984,0.72941,-0.0453766,0.0102239,0.997678,-0.0497598
297,-0.484325,0.339305,0.750239,-0.0632285,0.00158286,0.996223,-0.0594976
298,-0.492532,0.339317,0.743425,-0.0598953,0.0102943,0.996357,-0.0598257
299,-0.504237,0.340574,0.745367,-0.0616153,0.0086866,0.996203,-0.0608962
300,-0.515578,0.342395,0.744866,-0.0676831,0.0163062,0.995711,-0.0609313
301,-0.526438,0.343902,0.749849,-0.0665481,0.000495563,0.995493,-0.0675682
302,-0.56515,0.352347,0.786614,-0.108156,0.00983024,0.991487,-0.0718224
303,-0.571546,0.354357,0.78781,-0.111102,0.0071037,0.991283,-0.0704483
304,-0.555348,0.352551,0.765872,-0.0720072,0.00245265,0.995647,-0.0591187
305,-0.585142,0.360508,0.800497,-0.097617,0.00450211,0.993428,-0.0596019
306,-0.567755,0.358286,0.776706,-0.0648057,0.00100737,0.996278,-0.05682
307,-0.572374,0.360742,0.781004,-0.0538185,-0.00468812,0.996938,-0.0565337
308,-0.615978,0.372359,0.825649,-0.0921062,0.00608459,0.993718,-0.0632768
309,-0.587243,0.365676,0.792997,-0.0473608,-0.00683054,0.997462,-0.0527276
310,-0.597637,0.367963,0.799333,-0.0467763,-0.00375684,0.997424,-0.0542603
311,-0.632631,0.376547,0.831975,-0.0864555,0.0088745,0.994456,-0.0591883
312,-0.605063,0.371935,0.791026,-0.0363006,0.00162553,0.997602,-0.0588998
313,-0.63799,0.384716,0.817296,-0.0819355,0.028208,0.994385,-0.0607336
314,-0.641009,0.391564,0.818089,-0.0782293,0.0204559,0.994593,-0.0651706
315,-0.647261,0.400903,0.822786,-0.0894821,0.019769,0.993302,-0.0703766
316,-0.637971,0.408209,0.80973,-0.0780168,0.0262496,0.994479,-0.065089
317,-0.640582,0.4201,0.818258,-0.0892251,0.0118821,0.993656,-0.067425
318,-0.627819,0.429753,0.797464,-0.571358,0.232303,0.786243,-0.0375227
319,-0.602198,0.434106,0.773461,-0.0166868,0.050896,0.997965,-0.0346012
320,-0.612574,0.450255,0.788733,-0.576392,0.222031,0.785407,-0.0401246
321,-0.609739,0.460123,0.805945,-0.104488,0.0211557,0.992899,-0.0527836
322,-0.587653,0.460077,0.786594,-0.0786187,0.0258332,0.995697,-0.0416948
323,-0.583043,0.463186,0.783562,-0.0897422,0.0295027,0.994632,-0.0422377
324,-0.578061,0.464112,0.783193,-0.0870287,0.0219592,0.995299,-0.0363907
325,-0.57397,0.464223,0.77702,-0.0836884,0.0169518,0.995585,-0.0389698
326,-0.562514,0.461858,0.761845,-0.0535718,0.0361652,0.997778,-0.0161534
327,-0.572985,0.467354,0.772966,-0.0979289,0.02616,0.994179,-0.0365258
328,-0.561744,0.466331,0.7605,-0.077971,0.0279224,0.996198,-0.0270302
329,-0.561744,0.466331,0.7605,-0.077971,0.0279224,0.996198,-0.0270302
330,-0.561744,0.466331,0.7605,-0.077971,0.0279224,0.996198,-0.0270302
331,-0.561744,0.466331,0.7605,-0.077971,0.0279224,0.996198,-0.0270302
